Package,Package Version,arn
pillow,11.0.0,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-pillow:2
cryptography,44.0.1,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-cryptography:12
jinja2,3.1.5,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-jinja2:6
pycountry,24.6.1,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-pycountry:1
praw,7.8.1,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-praw:10
fuzzywuzzy,0.18.0,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-fuzzywuzzy:4
mail-parser,4.1.2,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-mail-parser:4
bcrypt,4.3.0,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-bcrypt:5
numpy,2.2.2,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-numpy:11
pymongo,4.10.1,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-pymongo:3
Pillow,11.1.0,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-Pillow:5
python-gitlab,5.6.0,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-python-gitlab:5
PyMuPDF,1.25.3,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-PyMuPDF:5
pyyaml,6.0.2,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-pyyaml:1
tabulate,0.9.0,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-tabulate:1
pymssql,2.3.2,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-pymssql:3
memray,1.15.0,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-memray:15
scipy,1.14.1,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-scipy:3
pytz,2025.1,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-pytz:2
aws-xray-sdk,2.14.0,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-aws-xray-sdk:16
pandas,2.2.3,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-pandas:14
psycopg,3.2.5,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-psycopg:10
imutils,0.5.4,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-imutils:1
duckdb,1.2.0,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-duckdb:5
gspread,6.2.0,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-gspread:7
tzlocal,5.3,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-tzlocal:2
amazon-textract-caller,0.2.4,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-amazon-textract-caller:3
pdfplumber,0.11.5,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-pdfplumber:6
pyopenssl,25.0.0,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-pyopenssl:1
defusedxml,0.7.1,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-defusedxml:1
mysql-connector-python,9.2.0,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-mysql-connector-python:6
requests,2.32.3,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-requests:12
curl_cffi,0.9.0,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-curl_cffi:1
pyqldb,3.2.4,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-pyqldb:16
orjson,3.10.15,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-orjson:10
pandera,0.23.0,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-pandera:1
aliyun-python-sdk-actiontrail,2.2.0,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-aliyun-python-sdk-actiontrail:14
dynamodb-encryption-sdk,3.3.0,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-dynamodb-encryption-sdk:16
stripe,11.6.0,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-stripe:11
opensearch-py,2.8.0,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-opensearch-py:8
idna,3.10,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-idna:4
redshift-connector,2.1.5,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-redshift-connector:16
icalendar,6.1.1,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-icalendar:6
beautifulsoup4,4.13.3,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-beautifulsoup4:4
polars,1.23.0,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-polars:15
boto3,1.37.4,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-boto3:16
pdf2image,1.17.0,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-pdf2image:1
aws-requests-auth,0.4.3,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-aws-requests-auth:12
dnspython,2.7.0,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-dnspython:3
python-pptx,1.0.2,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-python-pptx:10
tls-client,1.0.1,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-tls-client:1
feedparser,6.0.11,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-p312-feedparser:1
